Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
yes,,,,,,Cuora,trifasciata,,Geoemydidae,,,"16M, F19",,172,203,,,,,,,,,McCord and Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Cuora ,flavomarginata,,Geoemydidae,,,,,141.7,149.1,,,,169.5,175.5,,,,"Gibbons & Lovich, 1990; Chen & Lue 1998; Chen & Lue 1999; Chen & Lue 2002","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Cuora ,mccordi,,Geoemydidae,,,,,,,,,,184,165,,,,"Zhou, 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,yes,,,Cuora ,yunnanensis,,Geoemydidae,,,,,,,,,,126,175,,,,"Blanck, 2005","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Cyclemys,atripons,,Geoemydidae,,,"?M, F?",,191,224,,,,,,,,,Ernst et al. 2006c,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Cyclemys,gemeli,,Geoemydidae,1000,1800,,"Orang National Park, Assam state, India",185,221,,,,190,232,232,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,yes,yes,,,,Cycloderma,frenatum,Zambezi flapshell turtle,Trionychidae,,,"1M, 1F","Zambezi River, southern Africa ",,560,13500,11400,,,,,"note: maximum masses, also max male mass ""13-14kg""","Broadley, D.G., and W. Sachsse. 2011. Cycloderma frenatum Peters 1854 - Zambezi Flapshell Turtle, Nkhasi. Chelonian Research Monographs 5: 55.1-55.5.",,,,,,,,,
,yes,,,,,Deirochelys,reticularia,Chicken turtle,Emydidae,320,1027.5,24,Florida,,,,,,,,,,"Jackson, D.R. 1996. Meat on the move: diet of a predatory turtle, Deirochelys reticularia (Testudines: Emydidae). Chelonian Conservation and Biology 2(1):105-108.",,,,,,,,,
,,,,,,Deirochelys,reticularia,Chicken turtle,Emydidae,186.8,723.8,"195M, 67F","Savannah River Plant and Capers Island, South Carolina",,,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Deirochelys,reticularia,,Emydidae,,,"?M, F?",,154,191,,,,,,,,,Gibbons (unpublished data),"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Deirochelys ,reticularia,,Emydidae,,,,,129,185.3,,,,,,,,,"Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Dermatemys,mawii,Central American river turtle,Dermatemydidae,6795,7457,"86M, 27F","El Peru Lagoon, Guatemala",,,,,,,,,,"Anleu, R.G., R.B. McNab, J.S. Shoender, V. Espejel, J. Moreira, G. Ponce, V.H. Ramos, F. Oliva, E. Gonzalez, H. Tut, K. Tut, T. Xol, P. Xoc, M. Cordova, F. Cordova, L. Morales. 2007. Distribution and Ecology of the Central America River Turtle (Dermatemys mawii: Dermatemidae) in the Lowland Maya Forest, Guatemala. Wildlife Conservation Society-Guatemala Program Internal Report.",,,,,,,,,
,yes,,,,,Dermatemys,mawii,Central American river turtle,Dermatemydidae,6396,6622,"30M, 22F","Sacnab Lagoon, Guatemala",,,,,,,,,,"Anleu, R.G., R.B. McNab, J.S. Shoender, V. Espejel, J. Moreira, G. Ponce, V.H. Ramos, F. Oliva, E. Gonzalez, H. Tut, K. Tut, T. Xol, P. Xoc, M. Cordova, F. Cordova, L. Morales. 2007. Distribution and Ecology of the Central America River Turtle (Dermatemys mawii: Dermatemidae) in the Lowland Maya Forest, Guatemala. Wildlife Conservation Society-Guatemala Program Internal Report.",,,,,,,,,
,,,,,,Dermatemys,mawii,Central American river turtle,Dermatemydidae,5375,6368,"10M, 31F","Salpeten Lagoon, Guatemala",,,,,,,,,,"Anleu, R.G., R.B. McNab, J.S. Shoender, V. Espejel, J. Moreira, G. Ponce, V.H. Ramos, F. Oliva, E. Gonzalez, H. Tut, K. Tut, T. Xol, P. Xoc, M. Cordova, F. Cordova, L. Morales. 2007. Distribution and Ecology of the Central America River Turtle (Dermatemys mawii: Dermatemidae) in the Lowland Maya Forest, Guatemala. Wildlife Conservation Society-Guatemala Program Internal Report.",,,,,,,,,
yes,,,,,,Dermatemys,mawii,Central American river turtle,Dermatemydidae,6500,6022.73,"16M, 22F",Belize,381.71,341.57,9000,13000,13000,441,453,453,probably includes some subadults,"Rainwater, T.R., T. Pop, O. Cal, S.G. Platt, and R. Hudson. 2010. A Recent Survey of the Critically Endangered Central American River Turtle in Belize. Final Report to the Belize Fisheries Department, Belize City, Belize.",,,,,,,,,
,,,,,,Dermatemys,mawii,,Dermatemydidae,,,"125M, F77",,433,483,,,,,,,,,Polisar 1996,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Dermochelys,coriacea,leatherback seaturtle,Dermochelyidae,507000,408100,,,,,,,,,,,,"Spotila, J.R. 2004. Sea turtles: a complete guide to their biology, behavior, and conservation. Johns Hopkins Univ. Press, Baltimore, MD.**also another source",,,,,,,,,
yes,yes,,,,,Dermochelys,coriacea,leatherback sea turtle,Dermochelyidae,320000,387600,"1M, 4F","South Africa, KwaZulu-Natal province, South Africa for the females, Saldanha Bay, South Africa for male",1550,1470.8,,646000,646000,,1601,1601,"note: females ranged from 155.4 to 646 kg, middle two were gravid","Hughes, G.R. 1974. The Sea Turtles of South-east Africa. I. Status, Morphology and Distributions. Oceanographic Research Institute Investigational Report No. 36. Durban, S. Africa.",,,,,,,,,
,,,,,,Dermochelys,coriacea,,Dermochelyidae,,,"10M, F112",,1685,1760,,,,,,,,,"James et al. 2005a, 2005b, James and Mrosovsky 2004","Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Dogania,subplana,,Trionychidae,,,,,254,215,,,,,,,,,"Pritchard, 2001","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Elseya,albagula,white-throated snapping turtle,Chelidae,2380,5658,"8M, 8F","Burnett River, Queensland, Australia",,,2914,6725,,,,,note: midpoint of a range,"Mathie, N.J., and C.E. Franklin. 2006. The Influence of Body Size on the Diving Behavior and Physiology of the Bimodally Respiring Turtle, Elseya albagula. Journal of Comparative Physiology B 176: 739-747.",,,,,,,,,
yes,yes,,,,,Elseya,branderhorsti,New Guinea snapping turtle,Chelidae,2463,959,"2M, 5F","Papua Province, New Guinea Island, Indonesia",281,185,,,,282,250,282,,"Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
yes,,,,,,Elseya,dentata,,Chelidae,,,"~ 103M, F~ 103",,300,374,,,,,,,,,"Cann and Legler 1994, Cann 1998","Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Elseya,novaeguinea,New Guinea spotted turtle,Chelidae,997.3,1334,"7M, 6F","Papua Province, New Guinea Island, Indonesia",208,221,,,,223,230,230,"note: unclear if this species ever existed, ""recent authors don't mention this species any more""","Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
yes,,,,,,Elseya ,albagula,,Chelidae,,,,,262,385.9,,,,,,,,,(Hamann et al. 2008),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Elseya ,branderhorsti,,Chelidae,,,,,362,413,,,,402,481,,,,(Georges et al. 2006),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Elseya ,dentata,,Chelidae,,,,,225,274.3,,,,249,284.4,,,,(Kennett 1999) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Elseya ,novaeguineae,,Chelidae,,,,,201,250,,,,209,280,,,,(Georges et al. 2006) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Elusor,macrurus,Mary River turtle,Chelidae,4650,3295,"2M, 2F","Queensland, Australia",,,,,,,,,,"Caan, J. & J.M. Legler. 1994. The Mary River Tortoise: A new genus and species of short-necked chelid from Queensland, Australia (Testudines: Pleurodira). Chelonian Conservation and Biology 1:81-96.",,,,,,,,,
yes,,,,,,Elusor,macrurus,,Chelidae,,,"~ 21M, F~ 21",,380,326,,,,,,,,,Cann and Legler 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Emys,blandingii,Blanding's turtle,Emydidae,1290,1080,2451,"Minnesota, USA",,,,,,,,,,"Pappas, M.J., B.J. Brecke, and J.D. Congdon. 2000. The Blanding's turtles (Emydoidea blandingii) of Weaver Dunes, Minnesota. Chelon. Conserv. Biol 3:557-568.",,,,,,,,,
,yes,,,,,Emys,blandingii,Blanding's turtle,Emydidae,1174,911,,Nebraska,,,,,,,,,,"Ernst, C.H., and J.E. Lovich. 2009. Turtles of the United States and Canada. John Hopkins University Press, Baltimore MD.",,,,,,,,,
,,,,,,Emys,blandingii,,Emydidae,,,"59M, F670",,238,229,,,,,,,,,Pappas et al. 2000,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Emys,blandingii,Blanding's turtle,Emydidae,1055.9,998.5,"41M, 133F","E. S. George Reserve, Livingston County, Michigan",197.7,187.6,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Emys,blandingii,,Emydidae,1303,1349,"2M, 1F",,,,,,,,,,,"Graham, T.E., and R.W. Guimond. 1995. Aquatic Oxygen Consumption by Wintering Red-bellied Turtles. Journal of Herpetology 29(3): 471-474.",,,,,,,,,
yes,,,,,,Emys,blandingii,Blanding's turtle,Emydidae,1300,1475,"20M, 17F",New Hampshire,222.5,190,1775,1900,1900,240,199,240,"note: mass, CL, all midpoint of a range. Says males heavier, midpoint says opposite","Innes, R.J., K.J. Babbitt, and J.J. Kanter. 2005. Emydoidea blandingii (Blanding's Turtle) Body Mass and Size. Herpetological Review 36(4): 441-442.",,,,,,,,,
,,,,,,Emys,blandingii,,Emydidae,,,,,204.5,197.6,,,,249.4,232.4,,,,"Gibbons & Lovich, 1990; Rowe, 1992; Germano et al., 2000; Ruane et al., 2008; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Emydura,macquarii,Murray river turtle,Chelidae,418.8,1125,"6M, 4F","Bellinger River, Thora, New South Wales, Australia",170.7,223.3,550,1630,1630,190,247,247,,"Blamires, S.J., R.-J. Spencer, P. King, and M.B. Thompson. 2005. Population Parameters and Life Table Analysis of Two Co-existing Freshwater Turtles: Are the Bellinger River Turtle Populations Threatened? Wildlife Research 32: 339-347.",,,,,,,,,
,,,,,,Emydura,macquarii,,Chelidae,,,"?M, F?",,300,340,,,,,,,,,Cann 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Emydura,macquarii ssp krefftii,Krefft's river turtles,Chelidae,650,1010,"54M, 72F","Ross River, Douglas, Townsville, North Queensland, Australia",183.5,208.9,,,,,,,,"Trembath, D., D. Freier, and J. Elliott. 2004. Sexual-size Dimorphism in Emydura krefftii (Testudines: Chelidae) from Ross River, Townsville, Australia. Herpetological Review 35(1): 31-34.",,,,,,,,,
,,,,,,Emydura,macquarii ssp krefftii,,Chelidae,,,"~ 48M, F~ 48",,200,250,,,,,,,,,Georges 1982,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Emydura,subglobosa,red-bellied short-necked turtle,Chelidae,518.3,1013.9,"36M, 47F","Papua Province, New Guinea Island, Indonesia",169,208,,,,200,255,255,,"Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
,,,,,,Emydura ,macquarii,,Chelidae,,,,,183.5,208,,,,187.5,212.3,,,,(Trembath et al. 2004; Hamann et al. 2008) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Emydura ,subglobosa,,Chelidae,,,,,154,194.3,,,,173.5,250.5,,,,(Georges et al. 2006) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Emys,orbicularis,European pond turtle,Emydidae,408,352.6,69,Spain,136.4,122.6,,,,,,,,"Fernandez, C.A., and A.C. Rivera. 2001. Sexual dimorphism and morphological differentiation in European pond turtle (Emys orbicularis) populations from northwestern Spain. Chelonian Conservation and Biology 4:100-106.",,,,,,,,,
yes,,,,,,Emys,orbicularis,European Pond Turtle,Emydidae,317.85,480.34,"659M, 504F","Lake Yayla, Buldan, Buldan district, Denizli Province, Aegean Region, Turkey",124.91,140.46,490.6,750.7,750.7,156.8,166.6,166.6,,"Ayaz, D., Fritz, U., Atatur, M. K., Mermer, A., Cicek, K., Afsar, M. 2008. Aspect of Population Structure of the European Pond Turtle (Emys orbicularis) in Lake Yayla, Western Anatolia, Turkey. Journal of Herpetology 42(3):518-522.",,,,,,,,,
,,,,,,Emys,orbicularis,European pond turtle,Emydidae,336,565,"13M, 9F","Cukurkoy valley, İzmir Province, Aegian Region, Turkey",124,146,406,680,680,138,162,162,,"Auer, M., and E. Taskavak. 2004. Population Structures of Syntopic Emys orbicularis and Mauremys rivulata in Western Turkey. Biologia, Bratislava 59 Supplement 14: 81-84.",,,,,,,,,
,,,,,,Emys,orbicularis,European pond turtle,Emydidae,476.5,433,"2M, 1F","El Portil Pond, southern Spain (37.14N, 7.2W)",144.55,129.7,502,,502,146.8,,146.8,,"Perez-Santigosa, N., J. Hidalgo-Vila, and C. Diaz-Paniagua. 2013. Comparing Activity Patterns and Aquatic Home Range Areas Among Exotic and Native Turtles in Southern Spain. Chelonian Conservation and Biology 12(2): 313-319.",,,,,,,,,
,,,,,,Emys ,orbicularis,,Emydidae,,,,,128.6,139.6,,,,162.4,174.3,,,,"Arvy & Servan, 1998; Ayaz et al., 2008; Stephens & Wiens, 2009 ","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Emys ,orbicularis,,Emydidae,,,"227M, F214",,167,190,,,,,,,,,Balázs and Györffy 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,yes,,,Emys ,trinacris,,Emydidae,,,,,,,,,,152,155,,,,"Fritz et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Eretmochelys,imbricata,hawksbill sea turtle,Cheloniidae,48000,55000,,North America,,,,,,,,,,"Ernst, C.H., and J.E. Lovich. 2009. Turtles of the United States and Canada. John Hopkins University Press, Baltimore MD.",,,,,,,,,
,yes,,,,,Eretmochelys,imbricata,hawksbill seaturtle,Cheloniidae,53400,54200,"17M, 32F",Nicaragua,778,765,65700,86200,,850,870,870,,"Witzell, W.N. 1983. Synopsis of Biological Data on the Hawksbill Turtle, Eretmochelys imbricata (Linnaeus, 1766). FAO Fisheries Synopsis 137: 78 p.",,,,,,,,,
yes,,,,,,Eretmochelys,imbricata,,Cheloniidae,,,"17M, F32",,851,870,,,,,,,,,Nietschmann 1981,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Eretmochelys ,imbricata,,Cheloniidae,,,,,801,831,,,,,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,,,,,Erymnochelys,madagascariensis,Madagascar big-headed turtle,Podocnemididae,5100,4900,,Madagascar,352,345,980,960,980,458,430,458,,"Pedrono, M., and L.L. Smith. 2013. Overview of the Natural History of Madagascar's Endemic Tortoises and Freshwater Turtles: Essential Components for Effective Conseravation. Chelonian Research Monographs 6: 59-66.",,,,,,,,,
yes,,,,,,Geochelone,elegans,,Testudinidae,,,"?M, F?",,160,250,,,,,,,,,Sharma 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Geochelone,platynota,Burmese star tortoise,Testudinidae,710,850,< 10,Myanmar,,,,,,,,,,"Platt, S.G., S.T. Khaing, W.K. Ko, and Kalyar. 2001. A tortoise survey of Shwe Settaw Wildlife Sanctuary, Myanmar, with notes on the ecology of Geochelone platynota and Indotestudo elongata. Chelonian Conservation and Biology 4:172-177.",,,,,,,,,
yes,,,,,,Geochelone,platynota,,Testudinidae,,,,,150,189,,,,192,257,,,,"Platt et al., 2001","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Geochelone,platynota,,Testudinidae,,,"10M, F10",,192,257,,,,,,,,,Platt et al. 2001,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Geochelone,sulcata,African spurred tortoise,Testudinidae,93000,47000,"32M, 15F","Mali, Africa",,,,,,,,,,"Lambert, M.R.K. 1993. On growth, sexual dimorphism, and the general ecology of the African spurred tortoise, Geochelone sulcata, in Mali. Chelonian Conservation and Biology 1:37-46.",,,,,,,,,
yes,,,,,,Geochelone,sulcata,,Testudinidae,,,"32M, F15",,797,578,,,,,,,,,Lambert 1993,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Geoclemys,hamiltonii,Spotted pond turtle,Geoemydidae,,,"13M, 14F",Bangladesh,292.2,301.4,5200,6000,6000,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
yes,yes,,,,,Geoclemys,hamiltonii,black pond turtle,Geoemydidae,5200,6000,,"Orang National Park, Assam state, India",201.5,306,,,,211,405,405,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Geoclemys,hamiltonii,,Geoemydidae,,,"13M, F14",,392,405,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Glyptemys,insculpta,Wood turtle,Emydidae,750.3,711.4,10,New Hampshire,,,,,,,,,,"Tuttle, S.E., and D.M. Carroll. 1997. Ecology and natural history of the wood turtle (Clemmys insculpta) in southern New Hampshire. Linnaeus Fund Research Report. Chelonian Conservation and Biology 2:447-449.",,,,,,,,,
,,,,,,Glyptemys,insculpta,Wood turtle,Emydidae,858,766,"2M, 1F",,,,,,,,,,,"Graham, T.E., and R.W. Guimond. 1995. Aquatic Oxygen Consumption by Wintering Red-bellied Turtles. Journal of Herpetology 29(3): 471-474.",,,,,,,,,
,,,,,,Glyptemys,insculpta,Wood Turtle,Emydidae,1008,881.7,"15M,12F","Agricultural sites, Quebec, CA",193.9,181,,,,,,,,"Saumure, R.A., and J.R. Bider. 1998. Impact of agricultural development on a population of wood turtles (Clemmys insculpta) in southern Quebec, Canada. Chelonian Conservation and Biology 3(1):37-45.",,,,,,,,,
,,,,,,Glyptemys,insculpta,Wood Turtle,Emydidae,1219.4,1060.5,"9M,10F","Forest Sites, Quebec, CA",215.6,200.5,,,,,,,,"Saumure, R.A., and J.R. Bider. 1998. Impact of agricultural development on a population of wood turtles (Clemmys insculpta) in southern Quebec, Canada. Chelonian Conservation and Biology 3(1):37-45.",,,,,,,,,
,,,,,,Glyptemys,insculpta,wood turtle,Emydidae,817,658,"5M, 5F",New Hampshire,186,169,,,,,,,,"Tuttle, S.E., and D.M. Carroll. 2003. Home Range and Seasonal Movements of the Wood Turtle (Glyptemys insculpta) in Southern New Hampshire. Chelonian Conservation and Biology 4(3): 656-663.",,,,,,,,,
yes,,,,,,Glyptemys,insculpta,,Emydidae,,,"311M, F464",,206,188,,,,,,,,,Walde et al. 2003,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Glyptemys,muhlenbergii,,Emydidae,,,"87M, F62",,108,101,,,,,,,,,Lovich et al. 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Glyptemys ,insculpta,,Emydidae,,,,,198.8,184,,,,230,213,,,,"Agarwal et al., 1986; Lovich et al., 1990; Brooks et al., 1992; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Glyptemys ,muhlenbergii,,Emydidae,,,,,120,112,,,,,,,,,"Gibbons & Lovich, 1990; Lovich et al., 1998; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Gopherus,agassizii,desert tortoise,Testudinidae,2826.3,2330.8,80,"Yucca Mtn, NV",,,,,,,,,,"Boone, J.L. and E.A. Holt. 2001. Sexing young free-ranging desert tortoises (Gopherus agassizii) using external morphology. Chelonian Conservation and Biology 4:28-33.",,,,,,,,,
,,,,,,Gopherus,agassizii,desert tortoise,Testudinidae,3721,2257,"~25M, ~25F",California,,,,,,,,,,"Nagy, K.A., B.T. Henen, D.B. Vyas, and I.R. Wallis. 2002. A Condition Index for the Desert Tortoise (Gopherus agassizii). Chelonian Conservation and Biology 4(2): 425-429.",,,,,,,,,
yes,,,,,,Gopherus,agassizii,desert tortoise,Testudinidae,2826.3,2330.8,"38M, 37F","Yucca Mountain, Nevada",252.9,240,,,,,,,,"Boone, J.L., and E.A. Holt. 2001. Sexing Young Free-Range Desert Tortoises (Gopherus agassizii) Using External Morphology. Chelonian Conservation and Biology 4(1): 28-33.",,,,,,,,,
,,,,,,Gopherus,agassizii,,Testudinidae,,,,,237.9,228.9,,,,,,,,,"Germano, 1993; Germano, 1994; Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Gopherus,berlandieri,,Testudinidae,,,,,174.8,148.2,,,,,,,,,"Germano, 1993; Germano, 1994; Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
