Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Apalone,ferox,,Trionychidae,,,,,220,400.5,,,,330,738,,,,"Ernst et al., 2007; Webb, 1973; Meylan, 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Apalone,mutica,,Trionychidae,,,,,156.5,223.3,,,,218.7,360,,,,"Webb, 1973; Pritchard & Trebbau, 1984; Gibbons & Lovich, 1990; Barko & Briggler, 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Apalone,spinifera,spiny soft-shell turtle,Trionychidae,600,2915,~15,Arkansas,,,,,,,,,,"Plummer, M.V., and J.C. Burnley. Behavior, hibernacula, and thermal relations of softshell turtles (Trionyx spiniferus) overwintering in a small stream. 1997. Chelonian Conservation and Biology 2:489-493.",,,,,,,,,
,yes,,,,,Apalone,spinifera,eastern spiny softshell,Trionychidae,321.1,2555.9,~40,Vermont,,,,,,,,,,"Graham, T.E., and A.A. Graham. 1997. Ecology of the eastern spiny softshell, Apalone spinifera spinifera, in the Lamoille River, Vermont. Chelonian Conservation and Biology 2(3):363-369.",,,,,,,,,
yes,,,,,,Apalone,spinifera,,Trionychidae,,,,,176.9,298.7,,,,257.5,550,,,,"Webb, 1973; Gibbons & Lovich, 1990; Pritchard, 2001; Barko & Briggler, 2006; Bonin et al., 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Apalone ,ferox,,Trionychidae,,,"71M, F92",,191,394,,,,,,,,,Breckenridge 1955,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Apalone ,mutica,,Trionychidae,,,"?M, F?",,175,345,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Apalone ,spinifera,,Trionychidae,,,"18M, F17",,174,365,,,,,,,,,Graham and Graham 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Astrochelys,radiata,radiated tortoise,Testudinidae,6700,5500,,Madagascar,334,305,10500,10200,10500,395,355,395,,"Pedrono, M., and L.L. Smith. 2013. Overview of the Natural History of Madagascar's Endemic Tortoises and Freshwater Turtles: Essential Components for Effective Conseravation. Chelonian Research Monographs 6: 59-66.",,,,,,,,,
,,,,,,Astrochelys,radiata,radiated tortoise,Testudinidae,5200,6300,"32M, 37F","Cap Sainte Marie Special Reserve, Madagascar",312,319,8800,8400,8800,377,356,377,,"Leuteritz, T.E.J., and D.T. Gantz. 2013. Sexual Dimorphism in Radiated Tortoises (Astrochelys radiata). Chelonian Research Monographs 6: 105-112",,,,,,,,,
yes,,,,,,Astrochelys,radiata,,Testudinidae,,,,,349.5,325,,,,395,360,,,,"Gibbons & Lovich, 1990; Leuteritz et al., 2005","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Astrochelys,radiata,,Testudinidae,,,"191M, F188",,395,360,,,,,,,,,Leuteritz et al. 2005,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Astrochelys,yniphora,Ploughshare tortoise,Testudinidae,10300,8800,64,Madagascar,414.8,370.1,18900,12000,18900,486,426,486,,"Pedrono, M., and T. Markwell. 2001. Maximum size and mass of the ploughshare tortoise, Geochelone yniphora. Chelonian Conservation and Biology 4:190.",,,,,,,,,
,yes,,,,,Astrochelys,yniphora,Madagascan ploughshare tortoise,Testudinidae,9500,8280,"12M, 17F","Cape Sada, Baly Bay National Park, Boeny region, Madagascar",421.8,366.1,,,,481,,481,,"Smith, L.L., M. Pedrono, R.M. Dorazio, and J. Bishko. 2001. Morphometrics, Sexual Dimorphism, and Growth in the Angonoka Tortoise (Geochelone yniphora) of Western Madagascar. African Journal of Herpetology 50(1): 9-18.",,,,,,,,,
,,,,,,Astrochelys,yniphora,,Testudinidae,,,,,415.8,375,,,,445,440,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Astrochelys,yniphora,,Testudinidae,,,"32M, F40",,486,426,,,,,,,,,Pedrono and Markwell 2001,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Batagur,baska,Northern river terrapin,Geoemydidae,8000,16500,"3M, 2F","Sundarbans mangrove forest, India",395,500,,,,,,,,"Moll, E.O., K. Platt, S.G. Platt, P. Praschag, and P.P. van Dijk. 2009. Batagur baska (Gray 1830)- Northern River Terrapin. Chelonian Research Monographs No. 5: 37.1-37.10.",,,,,,,,,
,yes,,,,,Batagur,dhongoka,3-striped roof turtle,Geoemydidae,850,8250,,Nepal,,,,,,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
,,,,,,Batagur,kachuga,red-crowned river turtle,Geoemydidae,2800,18800,,Nepal,,,,,,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
,yes,,,,,Batagur,kachuga,red-crowned roof-turtle,Geoemydidae,3450,17250,,India,,,,,,,,,,"Whitaker, N. 2009. Captive breeding of the critically endangered red-crowned roof turtle Batagur kachuga (Gray 1831) at the Madras Crocodile Bank Trust. Pp 143-148 in Vasudevan, K. (ed), Freshwater turtles and tortoises of India. ENVIS Bulletin: Wildlife and Protected Areas, Vol. 12(1). Wildlife Institute of India, Dehradun, India.",,,,,,,,,
yes,,,,,,Batagur ,baska,,Geoemydidae,,,,,438,488,,,,500,600,,,,"Gibbons & Lovich, 1990; Das, 1991","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Batagur ,baska,,Geoemydidae,,,"84M, F66",,502,571,,,,,,,,,Moll 1980,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Batagur ,borneoensis,,Geoemydidae,,,,,340,460,,,,0,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Batagur ,borneoensis,,Geoemydidae,,,"?M, F?",,400,600,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Batagur ,dhongoka,,Geoemydidae,,,,,190,440,,,,255,480,,,,"Gibbons & Lovich, 1990; Das, 1991","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Batagur ,dhongoka,,Geoemydidae,,,"?M, F?",,260,460,,,,,,,,,Shrestha 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Batagur ,kachuga,,Geoemydidae,,,,,270,500,,,,,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Batagur ,kachuga,,Geoemydidae,,,"?M, F?",,290,560,,,,,,,,,Shrestha 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Batagur ,trivittata,,Geoemydidae,,,"?M, F?",,460,580,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Caretta,caretta,loggerhead seaturtle,Cheloniidae,68000,74000,"3M, 7F","KwaZulu-Natal province, South Africa",815,792,74600,93200,93200,905,871,905,,"Hughes, G.R. 1974. The Sea Turtles of South-east Africa. I. Status, Morphology and Distributions. Oceanographic Research Institute Investigational Report No. 36. Durban, S. Africa.",,,,,,,,,
,,,,,,Caretta,caretta,,Cheloniidae,,,"39M, F423",,995,1090,,,,,,,,,Marquez 1990,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Caretta ,caretta,,Cheloniidae,,,,,928.8,927.5,,,,1041,964,,,,"Dodd, 1988; Gibbons & Lovich, 1990; Van Buskirk & Crowder, 1994; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,yes,,,,Carettochelys,insculpta,pig-nosed turtle,Carettochelyidae,,,32,"Kakadu National Park, Northern Australia, Australia",,,9500,16000,16000,454,523,523,,"Georges, A., and R. Kennett. 1989. Dry-season Distribution and Ecology of Carettochelys insculpta (Chelonia: Carettochelydidae) in Kakadu National Park, Northern Australia. Australian Wildlife Research 16(3): 323-335.",,,,,,,,,
,,,,,,Carettochelys,insculpta,pig-nosed turtle,Carettochelyidae,,,"1M, 12F","Krikori drainage basin, Papua New Guinea",344,477,,,,,,,,"Georges, A., E. Alacs, M. Pauza, F. Kinginapi, A. Ona, and C. Eisemberg. 2008. Freshwater Turtles of the Kikori Drainage, Papua New Guinea, With Special Reference to the Pig-nosed Turtle, Carettochelys insculpta. Wildlife Research 35(7): 700-711.",,,,,,,,,
,,,,,,Carettochelys,insculpta,,Carettochelyidae,,,,,302,371,,,,413,451,,,,(Georges et al. 2006),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Carettochelys,insculpta,,Carettochelyidae,,,"13M, F11",,454,523,,,,,,,,,Georges and Kennett 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Chelodina,burrungandjii,,Chelidae,,,,,199.4,249.1,,,,221,267,,,,(Thomson et al. 2000; Gosnell et al. 2009),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chelodina,burrungandjii,,Chelidae,,,"11M, F17",,220,271,,,,,,,,,Thomson et al. 2000,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,yes,,,,Chelodina,expansa,giant snake-necked turtle,Chelidae,,,,eastern Australia,,,4000,6000,6000,,500,500,,"Bower, D.S., and K.M. Hodges. 2014. Chelodina expansa Gray 1857 - Broad-shelled Turtle, Giant Snake-necked Turtle. Chelonian Research Monographs 5: 71.1-71.8.",,,,,,,,,
yes,,,,,,Chelodina,expansa,,Chelidae,,,"?M, F?",,328,382,,,,,,,,,Cann and Legler 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Chelodina,longicollis,eastern long-necked turtle,Chelidae,473,721,"3M, 6F","Jervis Bay National Park, New South Wales, Australia",172,200,590,795,795,185,219,219,,"Graham, T., A. Georges, and N. McElhinney. 1996. Terrestrial Orientation by the Eastern Long-necked Turtle, Chelodina longicollis, from Australia. Journal of Herpetology 30(4): 467-477.",,,,,,,,,
