"","class","order","family","species","AaM","longevity","juvMort","adMort","svl","fecundity","birth.svl","mass","Terr","AdTerr","IF","repmode","na_count"
"41","Actinopterygii","Atheriniformes","Atherinopsidae","Chirostoma chapalae",NA,NA,NA,NA,14,NA,NA,12,"0","0",0,0,6
"42","Actinopterygii","Scorpaeniformes","Cottidae","Cottus hispaniolensis",NA,NA,NA,NA,10.5,NA,NA,12,"0","0",1,0,6
"43","Actinopterygii","Myctophiformes","Myctophidae","Electrona carlsbergi",NA,NA,NA,NA,10.4000001,NA,NA,12.10000038,"0","0",0,0,6
"44","Actinopterygii","Tetraodontiformes","Diodontidae","Chilomycterus spinosus spinosus",NA,NA,NA,NA,28,NA,NA,12.21000004,"0","0",0,0,6
"45","Actinopterygii","Siluriformes","Loricariidae","Farlowella martini",NA,NA,NA,NA,19.29999924,NA,NA,12.30000019,"0","0",0,0,6
"46","Actinopterygii","Perciformes","Leiognathidae","Secutor hanedai",NA,NA,NA,NA,9.100000381,NA,NA,12.77000046,"0","0",0,0,6
"47","Actinopterygii","Cypriniformes","Cyprinidae","Abbottina obtusirostris",NA,NA,NA,NA,10.89999962,NA,NA,13.5,"0","0",0,0,6
"48","Actinopterygii","Scorpaeniformes","Scorpaenidae","Ebosia falcata",NA,NA,NA,NA,11.60000038,NA,NA,15,"0","0",0,0,6
"49","Actinopterygii","Cypriniformes","Cobitidae","Cobitis simplicispina",NA,NA,NA,NA,13.39999962,NA,NA,15.10000038,"0","0",0,0,6
"50","Actinopterygii","Cypriniformes","Cyprinidae","Barilius naseeri",NA,NA,NA,NA,12.02000046,NA,NA,16.34000015,"0","0",0,0,6
"51","Actinopterygii","Perciformes","Gerreidae","Eucinostomus jonesii",NA,NA,NA,NA,20,NA,NA,16.89999962,"0","0",0,0,6
"52","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus bermudae",NA,NA,NA,NA,12.89999962,NA,NA,17,"0","0",0,0,6
"53","Actinopterygii","Characiformes","Curimatidae","Cyphocharax spilotus",NA,NA,NA,NA,10.39999962,NA,NA,17.20000076,"0","0",0,0,6
"54","Actinopterygii","Cypriniformes","Botiidae","Botia histrionica",NA,NA,NA,NA,13,NA,NA,17.5,"0","0",0,0,6
"55","Actinopterygii","Perciformes","Ammodytidae","Bleekeria murtii",NA,NA,NA,NA,16,NA,NA,17.89999962,"0","0",0,0,6
"56","Actinopterygii","Clupeiformes","Pristigasteridae","Chirocentrodon bleekerianus",NA,NA,NA,NA,16.10000038,NA,NA,19.29999924,"0","0",0,0,6
"57","Actinopterygii","Atheriniformes","Atherinopsidae","Basilichthys archaeus",NA,NA,NA,NA,11.60999966,NA,NA,19.35000038,"0","0",0,0,6
"58","Actinopterygii","Pleuronectiformes","Bothidae","Engyprosopon maldivensis",4.5,51.5,18.4197828409581,0.181818181818182,12.69999981,2125750,NA,19.626,"0","0",0,0,1
"59","Actinopterygii","Characiformes","Characidae","Bryconamericus stramineus",NA,NA,NA,NA,11.39999962,NA,NA,19.89999962,"0","0",NA,0,7
"60","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias johnstoni",NA,NA,NA,NA,14,NA,NA,20,"0","0",0,0,6
"61","Actinopterygii","Cypriniformes","Cyprinidae","Coreoleuciscus aeruginos",NA,NA,NA,NA,13.19999981,NA,NA,20.14999962,"0","0",0,0,6
"62","Actinopterygii","Clupeiformes","Engraulidae","Cetengraulis edentulus",NA,NA,NA,NA,17.65000057,NA,NA,21.10000038,"0","0",0,0,6
"63","Actinopterygii","Characiformes","Characidae","Bryconamericus iheringii",NA,NA,NA,NA,11.39999962,NA,NA,22.39999962,"0","0",0,0,6
"64","Actinopterygii","Stomiiformes","Stomiidae","Chauliodus macouni",NA,NA,NA,NA,29.29999924,NA,NA,23.35000038,"0","0",0,0,6
